dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ERing,0.9481481481481482,0.9111111111111112,0.937037037037037,0.9629629629629628,0.9851851851851852,0.9555555555555556,0.9592592592592591,0.9592592592592591,0.9518518518518518,0.9777777777777776,0.9555555555555556,0.9629629629629628,0.937037037037037,0.9518518518518518,0.9555555555555556,0.9592592592592591,0.9777777777777776,0.974074074074074,0.9333333333333332,0.9777777777777776,0.9592592592592591,0.9777777777777776,0.974074074074074,0.9777777777777776,0.9222222222222224,0.8888888888888888,0.9703703703703704,0.9592592592592591,0.9592592592592591,0.9703703703703704
Earthquakes,0.7553956834532374,0.7194244604316546,0.7338129496402878,0.7338129496402878,0.7266187050359713,0.7769784172661871,0.7122302158273381,0.7553956834532374,0.6906474820143885,0.7410071942446043,0.7338129496402878,0.7769784172661871,0.7697841726618705,0.7482014388489209,0.7553956834532374,0.7482014388489209,0.7194244604316546,0.7194244604316546,0.7482014388489209,0.7338129496402878,0.7266187050359713,0.7553956834532374,0.7697841726618705,0.7410071942446043,0.7266187050359713,0.7194244604316546,0.762589928057554,0.7482014388489209,0.7266187050359713,0.7410071942446043
EigenWorms,0.9770992366412212,0.9236641221374046,0.931297709923664,0.9389312977099236,0.931297709923664,0.9389312977099236,0.916030534351145,0.931297709923664,0.9541984732824428,0.9465648854961832,0.9541984732824428,0.9847328244274808,0.9389312977099236,0.9770992366412212,0.931297709923664,0.9694656488549618,0.9465648854961832,0.9618320610687024,0.9236641221374046,0.9389312977099236,0.9847328244274808,0.9465648854961832,0.9923664122137404,0.9618320610687024,0.9389312977099236,0.9465648854961832,0.931297709923664,0.9389312977099236,0.9389312977099236,0.916030534351145
ElectricDevices,0.782388795227597,0.927117105433796,0.925690571910258,0.9262093113733628,0.9324341849306186,0.932693554662171,0.928803008688886,0.9339904033199324,0.9273764751653482,0.9277655297626768,0.928803008688886,0.9316560757359617,0.9269874205680196,0.9282842692257812,0.9328232395279472,0.9328232395279472,0.928932693554662,0.9329529243937232,0.927117105433796,0.933471663856828,0.92867332382311,0.9324341849306186,0.935027882246142,0.9293217481519906,0.9273764751653482,0.9332122941252756,0.9332122941252756,0.929581117883543,0.9315263908701854,0.928932693554662
Epilepsy,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9927536231884058,1.0,1.0,1.0,1.0,1.0,0.9927536231884058,1.0,1.0,1.0,0.9927536231884058,1.0,1.0,1.0,1.0,1.0,1.0,0.9927536231884058,1.0,1.0,1.0,1.0,1.0
EthanolConcentration,0.4714828897338403,0.5285171102661597,0.4904942965779467,0.5817490494296578,0.5285171102661597,0.5209125475285171,0.5399239543726235,0.4562737642585551,0.4980988593155893,0.5133079847908745,0.5247148288973384,0.5209125475285171,0.5551330798479087,0.4486692015209125,0.5551330798479087,0.5019011406844106,0.5665399239543726,0.5361216730038023,0.5475285171102662,0.5741444866920152,0.5171102661596958,0.596958174904943,0.5437262357414449,0.5247148288973384,0.5057034220532319,0.5627376425855514,0.4866920152091255,0.5779467680608364,0.5285171102661597,0.5627376425855514
EthanolLevel,0.632,0.83,0.834,0.814,0.798,0.836,0.816,0.84,0.85,0.802,0.828,0.796,0.858,0.828,0.8,0.82,0.8,0.814,0.826,0.798,0.82,0.838,0.84,0.8,0.82,0.79,0.804,0.824,0.772,0.81
FaceAll,0.9502958579881656,0.9840236686390532,0.9840236686390532,0.985207100591716,0.9775147928994082,0.9822485207100592,0.9798816568047336,0.9775147928994082,0.9822485207100592,0.9763313609467456,0.985207100591716,0.9846153846153848,0.9769230769230768,0.9846153846153848,0.978698224852071,0.978698224852071,0.97396449704142,0.9810650887573964,0.9857988165680474,0.985207100591716,0.9828402366863904,0.9769230769230768,0.9840236686390532,0.978698224852071,0.9840236686390532,0.9798816568047336,0.9810650887573964,0.9810650887573964,0.9769230769230768,0.98698224852071
FaceFour,0.9204545454545454,0.8977272727272727,0.8863636363636364,0.9431818181818182,0.8863636363636364,0.8068181818181818,0.9545454545454546,0.9318181818181818,0.8409090909090909,0.9772727272727272,0.875,0.9090909090909092,0.8522727272727273,0.8863636363636364,0.8295454545454546,0.875,0.9090909090909092,0.9659090909090908,0.9659090909090908,0.8181818181818182,0.8636363636363636,0.8522727272727273,0.9204545454545454,0.9431818181818182,0.9090909090909092,0.9659090909090908,0.9204545454545454,0.9204545454545454,0.9545454545454546,0.9090909090909092
FacesUCR,0.9473170731707315,0.9526829268292684,0.9570731707317072,0.9551219512195122,0.9551219512195122,0.948780487804878,0.9565853658536584,0.9580487804878048,0.9590243902439024,0.9507317073170732,0.9546341463414634,0.951219512195122,0.973170731707317,0.9453658536585364,0.9551219512195122,0.9507317073170732,0.96,0.9629268292682926,0.9653658536585366,0.9521951219512196,0.9507317073170732,0.9546341463414634,0.948780487804878,0.9556097560975608,0.928780487804878,0.9536585365853658,0.9585365853658536,0.9478048780487804,0.948780487804878,0.9580487804878048
