dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
EigenWorms,0.9541984732824428,0.931297709923664,0.916030534351145,0.9236641221374046,0.931297709923664,0.9465648854961832,0.900763358778626,0.9389312977099236,0.9389312977099236,0.9389312977099236,0.9083969465648856,0.9465648854961832,0.9465648854961832,0.9770992366412212,0.9083969465648856,0.9236641221374046,0.916030534351145,0.9465648854961832,0.931297709923664,0.9083969465648856,0.931297709923664,0.9389312977099236,0.9541984732824428,0.9618320610687024,0.931297709923664,0.931297709923664,0.9236641221374046,0.916030534351145,0.916030534351145,0.8931297709923665
ElectricDevices,0.7290883153935935,0.9013098171443392,0.8992348592919206,0.9045519387887434,0.905848787446505,0.9014395020101156,0.9036441447283102,0.9070159512384904,0.8978083257683829,0.9037738295940864,0.9039035144598624,0.9023472960705484,0.9004020230839062,0.9040331993256387,0.9036441447283102,0.9037738295940864,0.9067565815069382,0.9040331993256387,0.9004020230839062,0.9090909090909092,0.9011801322785632,0.905070678251848,0.9087018544935808,0.8949552587213072,0.8987161198288159,0.90195824147322,0.90195824147322,0.9048113085202956,0.9079237452989236,0.8957333679159643
Epilepsy,1.0,0.9927536231884058,0.9927536231884058,0.9927536231884058,0.9927536231884058,0.9927536231884058,1.0,1.0,0.9927536231884058,0.9855072463768116,0.9927536231884058,0.9927536231884058,0.9855072463768116,0.9927536231884058,1.0,0.9855072463768116,1.0,0.9782608695652174,0.9927536231884058,1.0,0.9927536231884058,1.0,1.0,0.9782608695652174,1.0,1.0,1.0,1.0,1.0,0.9927536231884058
EthanolConcentration,0.4220532319391635,0.4372623574144487,0.4182509505703422,0.4562737642585551,0.4448669201520912,0.4866920152091255,0.3688212927756654,0.4334600760456273,0.4220532319391635,0.4714828897338403,0.4638783269961977,0.4372623574144487,0.4334600760456273,0.4258555133079847,0.467680608365019,0.4068441064638783,0.4182509505703422,0.4258555133079847,0.4296577946768061,0.4410646387832699,0.4144486692015209,0.4296577946768061,0.4638783269961977,0.4448669201520912,0.467680608365019,0.4410646387832699,0.4790874524714829,0.4448669201520912,0.4182509505703422,0.3878326996197718
EthanolLevel,0.478,0.488,0.484,0.482,0.518,0.512,0.504,0.49,0.554,0.534,0.542,0.504,0.496,0.522,0.52,0.532,0.502,0.526,0.55,0.49,0.518,0.544,0.522,0.524,0.496,0.526,0.526,0.522,0.504,0.494
FaceAll,0.8289940828402367,0.8686390532544379,0.8775147928994083,0.8798816568047337,0.8745562130177514,0.8792899408284024,0.8680473372781065,0.8775147928994083,0.8840236686390532,0.8656804733727811,0.8733727810650888,0.8804733727810651,0.8674556213017751,0.878698224852071,0.8775147928994083,0.8710059171597633,0.8686390532544379,0.8751479289940829,0.8745562130177514,0.8810650887573964,0.8591715976331361,0.8751479289940829,0.8781065088757396,0.8810650887573964,0.8798816568047337,0.8633136094674556,0.8733727810650888,0.8662721893491124,0.8715976331360947,0.8857988165680474
FaceDetection,0.604994324631101,0.6186152099886493,0.6364926220204313,0.6336549375709422,0.6362088535754824,0.6333711691259932,0.6458569807037458,0.6245743473325767,0.6364926220204313,0.6305334846765039,0.6495459704880817,0.6285471055618616,0.6410329171396141,0.6325198637911464,0.6475595913734393,0.6274120317820658,0.6455732122587968,0.6345062429057888,0.6370601589103292,0.6279795686719637,0.6381952326901249,0.6367763904653803,0.6416004540295119,0.6359250851305335,0.6316685584562997,0.6424517593643587,0.6396140749148694,0.626844494892168,0.6407491486946651,0.6342224744608399
FaceFour,0.75,0.6704545454545454,0.6931818181818182,0.7613636363636364,0.625,0.6477272727272727,0.7954545454545454,0.75,0.7386363636363636,0.7727272727272727,0.7159090909090909,0.7613636363636364,0.7159090909090909,0.7613636363636364,0.6931818181818182,0.7159090909090909,0.6477272727272727,0.75,0.7613636363636364,0.6818181818181818,0.75,0.7954545454545454,0.5454545454545454,0.7386363636363636,0.7272727272727273,0.7272727272727273,0.75,0.7045454545454546,0.8181818181818182,0.625
FacesUCR,0.7804878048780488,0.7917073170731708,0.7629268292682927,0.7663414634146342,0.7760975609756098,0.7795121951219512,0.7673170731707317,0.7926829268292683,0.7692682926829268,0.7726829268292683,0.7634146341463415,0.7736585365853659,0.7775609756097561,0.7687804878048781,0.7760975609756098,0.7697560975609756,0.7839024390243903,0.7580487804878049,0.7634146341463415,0.7970731707317074,0.775609756097561,0.7726829268292683,0.7834146341463415,0.7609756097560976,0.7507317073170732,0.764390243902439,0.7697560975609756,0.7560975609756098,0.7809756097560976,0.7453658536585366
FiftyWords,0.6659340659340659,0.6527472527472528,0.6681318681318681,0.654945054945055,0.6307692307692307,0.6263736263736264,0.6725274725274726,0.6593406593406593,0.6395604395604395,0.6505494505494506,0.654945054945055,0.6593406593406593,0.6417582417582418,0.6813186813186813,0.6373626373626373,0.654945054945055,0.643956043956044,0.6417582417582418,0.6681318681318681,0.6879120879120879,0.6703296703296703,0.6483516483516484,0.6725274725274726,0.6637362637362637,0.6967032967032967,0.6395604395604395,0.6593406593406593,0.6747252747252748,0.643956043956044,0.6703296703296703
FingerMovements,0.54,0.55,0.53,0.56,0.62,0.52,0.6,0.58,0.59,0.56,0.53,0.59,0.52,0.54,0.52,0.51,0.45,0.54,0.54,0.6,0.57,0.53,0.56,0.61,0.47,0.62,0.57,0.58,0.51,0.6
Fish,0.8628571428571429,0.84,0.8342857142857143,0.88,0.8571428571428571,0.88,0.88,0.8571428571428571,0.8742857142857143,0.8857142857142857,0.8628571428571429,0.8342857142857143,0.8571428571428571,0.88,0.8457142857142858,0.8514285714285714,0.88,0.8685714285714285,0.8685714285714285,0.8342857142857143,0.8742857142857143,0.8685714285714285,0.8857142857142857,0.8457142857142858,0.8857142857142857,0.8571428571428571,0.8457142857142858,0.9142857142857144,0.8228571428571428,0.8685714285714285
FordA,0.9295454545454546,0.9272727272727272,0.9265151515151516,0.9212121212121211,0.931060606060606,0.937121212121212,0.9143939393939394,0.9265151515151516,0.9265151515151516,0.9318181818181818,0.9181818181818182,0.9257575757575758,0.9227272727272728,0.9295454545454546,0.918939393939394,0.9242424242424242,0.9234848484848484,0.9136363636363636,0.9333333333333332,0.925,0.9166666666666666,0.9340909090909092,0.928030303030303,0.9242424242424242,0.9325757575757576,0.9204545454545454,0.9409090909090908,0.9272727272727272,0.925,0.9196969696969696
FordB,0.7876543209876543,0.8864197530864197,0.8987654320987655,0.908641975308642,0.8925925925925926,0.8975308641975308,0.8962962962962963,0.9197530864197532,0.8950617283950617,0.9074074074074074,0.891358024691358,0.9012345679012346,0.8703703703703703,0.9,0.8975308641975308,0.8876543209876543,0.9024691358024692,0.8716049382716049,0.9061728395061728,0.8938271604938272,0.891358024691358,0.8876543209876543,0.8864197530864197,0.9074074074074074,0.908641975308642,0.8925925925925926,0.8987654320987655,0.9049382716049382,0.8876543209876543,0.8938271604938272
