dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ECG5000,0.9455555555555556,0.9448888888888888,0.9513333333333334,0.946,0.9477777777777778,0.9526666666666668,0.952,0.9475555555555556,0.9462222222222222,0.9504444444444444,0.9466666666666668,0.9468888888888888,0.9473333333333334,0.9491111111111112,0.9513333333333334,0.9488888888888888,0.9404444444444444,0.9504444444444444,0.9484444444444444,0.9464444444444444,0.9431111111111112,0.9471111111111112,0.9482222222222222,0.9486666666666668,0.9502222222222222,0.9517777777777776,0.9395555555555556,0.9457777777777778,0.9473333333333334,0.9413333333333334
ECGFiveDays,1.0,0.9976771196283392,1.0,1.0,0.9976771196283392,1.0,1.0,1.0,1.0,0.9454123112659698,1.0,1.0,1.0,1.0,0.9465737514518002,1.0,1.0,1.0,1.0,0.9535423925667827,1.0,0.9988385598141696,0.9988385598141696,1.0,0.9988385598141696,0.9535423925667827,1.0,0.9465737514518002,1.0,1.0
EOGHorizontalSignal,0.6104972375690608,0.8950276243093923,0.9005524861878453,0.8839779005524862,0.9088397790055248,0.9171270718232044,0.9116022099447514,0.9005524861878453,0.9060773480662984,0.8977900552486188,0.9033149171270718,0.9005524861878453,0.8950276243093923,0.8812154696132597,0.9281767955801103,0.9088397790055248,0.9060773480662984,0.9060773480662984,0.8812154696132597,0.9088397790055248,0.8895027624309392,0.8646408839779005,0.8950276243093923,0.9281767955801103,0.9088397790055248,0.914364640883978,0.8701657458563536,0.8895027624309392,0.8977900552486188,0.8756906077348067
EOGVerticalSignal,0.5580110497237569,0.8397790055248618,0.8784530386740331,0.8397790055248618,0.8535911602209945,0.8480662983425414,0.8535911602209945,0.856353591160221,0.8480662983425414,0.8756906077348067,0.8397790055248618,0.856353591160221,0.8756906077348067,0.8480662983425414,0.8425414364640884,0.8756906077348067,0.8646408839779005,0.861878453038674,0.8784530386740331,0.8756906077348067,0.856353591160221,0.8425414364640884,0.8453038674033149,0.8701657458563536,0.850828729281768,0.861878453038674,0.861878453038674,0.8370165745856354,0.8535911602209945,0.8701657458563536
ERing,0.9851851851851852,0.9703703703703704,0.9888888888888888,0.9814814814814816,0.9777777777777776,0.9296296296296296,0.9777777777777776,0.9851851851851852,0.9851851851851852,0.9592592592592591,0.9703703703703704,0.9666666666666668,0.9777777777777776,0.9888888888888888,0.9666666666666668,0.9777777777777776,0.9814814814814816,0.9518518518518518,0.9629629629629628,0.9777777777777776,0.9962962962962963,0.9777777777777776,0.9814814814814816,0.9703703703703704,0.9777777777777776,0.9629629629629628,0.9925925925925926,0.9888888888888888,0.9814814814814816,0.974074074074074
Earthquakes,0.7553956834532374,0.7410071942446043,0.7338129496402878,0.7050359712230215,0.7553956834532374,0.7482014388489209,0.7266187050359713,0.7410071942446043,0.7338129496402878,0.7338129496402878,0.7338129496402878,0.7553956834532374,0.7410071942446043,0.7050359712230215,0.7266187050359713,0.7410071942446043,0.7266187050359713,0.7194244604316546,0.7338129496402878,0.7482014388489209,0.7266187050359713,0.7266187050359713,0.7410071942446043,0.7482014388489209,0.7338129496402878,0.7553956834532374,0.7410071942446043,0.7266187050359713,0.7553956834532374,0.7482014388489209
EigenWorms,0.9694656488549618,0.9465648854961832,0.931297709923664,0.9389312977099236,0.9541984732824428,0.9465648854961832,0.9541984732824428,0.9236641221374046,0.9465648854961832,0.9694656488549618,0.9694656488549618,0.9541984732824428,0.9618320610687024,0.9618320610687024,0.9465648854961832,0.9618320610687024,0.9465648854961832,0.9618320610687024,0.916030534351145,0.9389312977099236,0.9770992366412212,0.9389312977099236,0.9694656488549618,0.9541984732824428,0.931297709923664,0.9618320610687024,0.9236641221374046,0.9389312977099236,0.9389312977099236,0.9465648854961832
ElectricDevices,0.7475035663338089,0.916223576708598,0.9166126313059266,0.9133705096615224,0.9194656983530022,0.9197250680845546,0.9166126313059266,0.922448450265854,0.9186875891583453,0.9180391648294643,0.9153157826481648,0.9218000259369732,0.917001685903255,0.9211516016080924,0.9186875891583453,0.920114122681883,0.917001685903255,0.9211516016080924,0.916093891842822,0.9245234081182726,0.9159642069770456,0.9199844378161068,0.9206328621449876,0.9172610556348074,0.917650110232136,0.9205031772792116,0.9182985345610168,0.9216703410711968,0.921021916742316,0.9163532615743742
Epilepsy,1.0,0.9710144927536232,0.9927536231884058,0.9782608695652174,1.0,1.0,0.9927536231884058,1.0,1.0,0.9927536231884058,0.9927536231884058,1.0,0.9927536231884058,0.9855072463768116,1.0,1.0,1.0,0.9782608695652174,1.0,0.9927536231884058,0.9927536231884058,1.0,1.0,0.9927536231884058,0.9927536231884058,1.0,1.0,1.0,0.9927536231884058,0.9927536231884058
EthanolConcentration,0.6197718631178707,0.6958174904942965,0.6653992395437263,0.6577946768060836,0.7034220532319392,0.6692015209125475,0.6730038022813688,0.6425855513307985,0.6083650190114068,0.7110266159695817,0.6844106463878327,0.6615969581749049,0.6349809885931559,0.6653992395437263,0.6615969581749049,0.6501901140684411,0.6806083650190115,0.6615969581749049,0.6996197718631179,0.6730038022813688,0.6653992395437263,0.688212927756654,0.7072243346007605,0.6501901140684411,0.7110266159695817,0.6920152091254753,0.6273764258555133,0.7072243346007605,0.6425855513307985,0.6501901140684411
