/home/labic/miniconda3/envs/tabs/lib/python3.10/site-packages/torch/nn/modules/conv.py:370: UserWarning: Using padding='same' with even kernel lengths and odd dilation may require a zero-padded copy of the input be created (Triggered internally at /pytorch/aten/src/ATen/native/Convolution.cpp:1025.)
  return F.conv1d(

 === Started run 1 === 

    --- Executing dataset FloodModeling2 --- 

Training H1

Epoch 231/2000 | Train MSE: 0.000036
Epoch 232/2000 | Train MSE: 0.000038
Epoch 233/2000 | Train MSE: 0.000030
Epoch 234/2000 | Train MSE: 0.000033
Epoch 235/2000 | Train MSE: 0.000022
Epoch 236/2000 | Train MSE: 0.000019
Epoch 237/2000 | Train MSE: 0.000014
Epoch 238/2000 | Train MSE: 0.000010
Epoch 239/2000 | Train MSE: 0.000027
Epoch 240/2000 | Train MSE: 0.000024
Epoch 241/2000 | Train MSE: 0.000028
Epoch 242/2000 | Train MSE: 0.000018
Epoch 243/2000 | Train MSE: 0.000020
Epoch 244/2000 | Train MSE: 0.000017
Epoch 245/2000 | Train MSE: 0.000013
Epoch 246/2000 | Train MSE: 0.000019
Epoch 247/2000 | Train MSE: 0.000014
Epoch 248/2000 | Train MSE: 0.000050
Epoch 249/2000 | Train MSE: 0.000040
Epoch 250/2000 | Train MSE: 0.000022
Epoch 251/2000 | Train MSE: 0.000020
Epoch 252/2000 | Train MSE: 0.000025
Epoch 253/2000 | Train MSE: 0.000017
Epoch 254/2000 | Train MSE: 0.000028
Epoch 255/2000 | Train MSE: 0.000020
Epoch 256/2000 | Train MSE: 0.000017
Epoch 257/2000 | Train MSE: 0.000015
Epoch 258/2000 | Train MSE: 0.000020
Epoch 259/2000 | Train MSE: 0.000014
Epoch 260/2000 | Train MSE: 0.000008
Epoch 261/2000 | Train MSE: 0.000011
Epoch 262/2000 | Train MSE: 0.000011
Epoch 263/2000 | Train MSE: 0.000007
Epoch 264/2000 | Train MSE: 0.000015
Epoch 265/2000 | Train MSE: 0.000032
Epoch 266/2000 | Train MSE: 0.000029
Epoch 267/2000 | Train MSE: 0.000012
Epoch 268/2000 | Train MSE: 0.000020
Epoch 269/2000 | Train MSE: 0.000019
Epoch 270/2000 | Train MSE: 0.000019
Epoch 271/2000 | Train MSE: 0.000022
Epoch 272/2000 | Train MSE: 0.000027
Epoch 273/2000 | Train MSE: 0.000030
Epoch 274/2000 | Train MSE: 0.000032
Epoch 275/2000 | Train MSE: 0.000026
Epoch 276/2000 | Train MSE: 0.000023
Epoch 277/2000 | Train MSE: 0.000079
Epoch 278/2000 | Train MSE: 0.000035
Epoch 279/2000 | Train MSE: 0.000015
Epoch 280/2000 | Train MSE: 0.000011
Epoch 281/2000 | Train MSE: 0.000012
Epoch 282/2000 | Train MSE: 0.000014
Epoch 283/2000 | Train MSE: 0.000009
Epoch 284/2000 | Train MSE: 0.000010
Epoch 285/2000 | Train MSE: 0.000026
Epoch 286/2000 | Train MSE: 0.000020
Epoch 287/2000 | Train MSE: 0.000031
Epoch 288/2000 | Train MSE: 0.000018
Epoch 289/2000 | Train MSE: 0.000018
Epoch 290/2000 | Train MSE: 0.000010
Epoch 291/2000 | Train MSE: 0.000017
Epoch 292/2000 | Train MSE: 0.000024
Epoch 293/2000 | Train MSE: 0.000020
Epoch 294/2000 | Train MSE: 0.000018
Epoch 295/2000 | Train MSE: 0.000019
Epoch 296/2000 | Train MSE: 0.000023
Epoch 297/2000 | Train MSE: 0.000022
Epoch 298/2000 | Train MSE: 0.000036
Epoch 299/2000 | Train MSE: 0.000028
Epoch 300/2000 | Train MSE: 0.000013
Epoch 301/2000 | Train MSE: 0.000011
Epoch 302/2000 | Train MSE: 0.000008
Epoch 303/2000 | Train MSE: 0.000009
Epoch 304/2000 | Train MSE: 0.000009
Epoch 305/2000 | Train MSE: 0.000010
Epoch 306/2000 | Train MSE: 0.000024
Epoch 307/2000 | Train MSE: 0.000019
Epoch 308/2000 | Train MSE: 0.000017
Epoch 309/2000 | Train MSE: 0.000019
Epoch 310/2000 | Train MSE: 0.000019
Epoch 311/2000 | Train MSE: 0.000018
Epoch 312/2000 | Train MSE: 0.000012
Epoch 313/2000 | Train MSE: 0.000013
Early stopping at epoch 313. Best training loss: 0.000007

Training H2

Epoch 1/2000 | Train MSE: 0.037236
Epoch 2/2000 | Train MSE: 0.006518
Epoch 3/2000 | Train MSE: 0.002567
Epoch 4/2000 | Train MSE: 0.001705
Epoch 5/2000 | Train MSE: 0.000928
Epoch 6/2000 | Train MSE: 0.000635
Epoch 7/2000 | Train MSE: 0.000533
Epoch 8/2000 | Train MSE: 0.000403
Epoch 9/2000 | Train MSE: 0.000350
Epoch 10/2000 | Train MSE: 0.000303
Epoch 11/2000 | Train MSE: 0.000245
Epoch 12/2000 | Train MSE: 0.000225
Epoch 13/2000 | Train MSE: 0.000218
Epoch 14/2000 | Train MSE: 0.000213
Epoch 15/2000 | Train MSE: 0.000204
Epoch 16/2000 | Train MSE: 0.000206
Epoch 17/2000 | Train MSE: 0.000173
Epoch 18/2000 | Train MSE: 0.000209
Epoch 19/2000 | Train MSE: 0.000217
Epoch 20/2000 | Train MSE: 0.000182
Epoch 21/2000 | Train MSE: 0.000253
Epoch 22/2000 | Train MSE: 0.000159
Epoch 23/2000 | Train MSE: 0.000140
Epoch 24/2000 | Train MSE: 0.000188
Epoch 25/2000 | Train MSE: 0.000162
Epoch 26/2000 | Train MSE: 0.000138
Epoch 27/2000 | Train MSE: 0.000151
Epoch 28/2000 | Train MSE: 0.000134
Epoch 29/2000 | Train MSE: 0.000143
Epoch 30/2000 | Train MSE: 0.000219
Epoch 31/2000 | Train MSE: 0.000194
Epoch 32/2000 | Train MSE: 0.000106
Epoch 33/2000 | Train MSE: 0.000103
Epoch 34/2000 | Train MSE: 0.000097
Epoch 35/2000 | Train MSE: 0.000104
Epoch 36/2000 | Train MSE: 0.000097
Epoch 37/2000 | Train MSE: 0.000088
Epoch 38/2000 | Train MSE: 0.000078
Epoch 39/2000 | Train MSE: 0.000065
Epoch 40/2000 | Train MSE: 0.000082
Epoch 41/2000 | Train MSE: 0.000078
Epoch 42/2000 | Train MSE: 0.000078
Epoch 43/2000 | Train MSE: 0.000077
Epoch 44/2000 | Train MSE: 0.000132
Epoch 45/2000 | Train MSE: 0.000119
Epoch 46/2000 | Train MSE: 0.000110
Epoch 47/2000 | Train MSE: 0.000134
Epoch 48/2000 | Train MSE: 0.000172
Epoch 49/2000 | Train MSE: 0.000067
Epoch 50/2000 | Train MSE: 0.000065
Epoch 51/2000 | Train MSE: 0.000067
Epoch 52/2000 | Train MSE: 0.000055
Epoch 53/2000 | Train MSE: 0.000050
Epoch 54/2000 | Train MSE: 0.000062
Epoch 55/2000 | Train MSE: 0.000058
Epoch 56/2000 | Train MSE: 0.000060
Epoch 57/2000 | Train MSE: 0.000055
Epoch 58/2000 | Train MSE: 0.000051
Epoch 59/2000 | Train MSE: 0.000068
Epoch 60/2000 | Train MSE: 0.000099
Epoch 61/2000 | Train MSE: 0.000052
Epoch 62/2000 | Train MSE: 0.000058
Epoch 63/2000 | Train MSE: 0.000065
Epoch 64/2000 | Train MSE: 0.000060
Epoch 65/2000 | Train MSE: 0.000047
Epoch 66/2000 | Train MSE: 0.000080
Epoch 67/2000 | Train MSE: 0.000084
Epoch 68/2000 | Train MSE: 0.000049
Epoch 69/2000 | Train MSE: 0.000046
Epoch 70/2000 | Train MSE: 0.000077
Epoch 71/2000 | Train MSE: 0.000062
Epoch 72/2000 | Train MSE: 0.000076
Epoch 73/2000 | Train MSE: 0.000053
Epoch 74/2000 | Train MSE: 0.000056
Epoch 75/2000 | Train MSE: 0.000063
Epoch 76/2000 | Train MSE: 0.000041
Epoch 77/2000 | Train MSE: 0.000049
Epoch 78/2000 | Train MSE: 0.000044
Epoch 79/2000 | Train MSE: 0.000051
Epoch 80/2000 | Train MSE: 0.000040
Epoch 81/2000 | Train MSE: 0.000038
Epoch 82/2000 | Train MSE: 0.000049
Epoch 83/2000 | Train MSE: 0.000068
Epoch 84/2000 | Train MSE: 0.000041
Epoch 85/2000 | Train MSE: 0.000045
Epoch 86/2000 | Train MSE: 0.000044
Epoch 87/2000 | Train MSE: 0.000038
Epoch 88/2000 | Train MSE: 0.000030
